9/11,9-11
invalidator,nullifier
invalidator,voider
invalidity,invalidness
invaluable,priceless
invaluableness,preciousness
invaluableness,pricelessness
invaluableness,valuableness
invariability,invariableness
invariability,invariance
invasion,encroachment
invasion,intrusion
invent,contrive
invent,devise
invent,excogitate
invent,forge
invent,formulate
invention,conception
invention,design
invention,excogitation
invention,innovation
invention,innovation
inventiveness,cleverness
inventiveness,ingeniousness
inventiveness,ingenuity
inventor,artificer
inventor,discoverer
inventory,inventorying
inventory,stock-take
inventory,stock-taking
inventory,stocktaking
inverse,opposite
inverse,reverse
inversely,reciprocally
inversion,eversion
inversion,everting
inversion,upending
invert,reverse
invertase,saccharase
invertase,sucrase
invertebrate,spineless
inverted,upside-down
invest,adorn
invest,clothe
invest,commit
invest,enthrone
invest,place
invest,put
invest,vest
investigate,enquire
investigate,inquire
investigation,investigating
investing,investment
investment,investiture
invigilate,proctor
invigorate,reinvigorate
invincible,unbeatable
invincible,unvanquishable
inviolable,inviolate
inviolable,sacrosanct
invisibility,invisibleness
invisible,unseeable
invite,bid
invocation,supplication
invoke,appeal
involuntary,nonvoluntary
involuntary,unvoluntary
involute,rolled
involution,enfolding
involve,affect
involve,regard
involved,mired
invulnerability,impregnability
inward,inwards
inwardly,inside
inwardness,internality
iodinated,iodised
iodinated,iodized
iodine,I
iodine,iodin
iodize,iodise
iodize,iodise
iodochlorhydroxyquin,Clioquinol
iodoform,tri-iodomethane
iodoform,triiodomethane
ionization,ionisation
ionization,ionisation
ionize,ionise
ionize,ionise
ionized,ionised
iontophoresis,EMDA
iontophoresis,iontotherapy
irascibility,spleen
irate,ireful
iridescent,nacreous
iridescent,opalescent
iridescent,opaline
iridescent,pearlescent
iridium,Ir
iris,flag
iris,fleur-de-lis
iron,Fe
iron,press
iron-grey,iron-gray
iron-grey,iron-gray
ironclad,brassbound
ironic,ironical
ironmonger,hardwareman
irons,chains
ironweed,vernonia
irradiate,ray
irrationality,unreason
irreclaimable,irredeemable
irreclaimable,unredeemable
irreclaimable,unreformable
irreconcilable,unreconcilable
irredenta,irridenta
irredentism,irridentism
irredentist,irridentist
irregular,maverick
irregular,second
irregular,temporary
irregular,unorthodox
irregular,unpredictable
irregularity,unregularity
irrelevance,irrelevancy
irreligiousness,irreligion
irreplaceable,unreplaceable
irrepressibility,buoyancy
irrepressible,uncontrollable
irreproachably,blamelessly
irresistibility,irresistibleness
irresistible,resistless
irresoluteness,irresolution
irresponsibility,irresponsibleness
irretrievable,unretrievable
irreverence,violation
irrevocable,irrevokable
irritability,choler
irritability,crossness
irritability,fretfulness
irritability,fussiness
irritability,peevishness
irritability,petulance
irritant,thorn
irritating,irritative
irritating,painful
irritation,annoyance
irritation,botheration
irritation,vexation
irruptive,plutonic
ischemia,ischaemia
ischemic,ischaemic
islander,island-dweller
isle,islet
isoantibody,alloantibody
isocarboxazid,Marplan
isochronal,isochronous
isoclinal,isoclinic
isogram,isarithm
isogram,isopleth
isolate,insulate
isolated,marooned
isolated,quarantined
isolated,stranded
isolated,stray
isolationist,isolationistic
isomerization,isomerisation
isomerize,isomerise
isomerize,isomerise
isometric,isometrical
isomorphism,isomorphy
isomorphous,isomorphic
isoniazid,INH
isoniazid,Nydrazid
isoproterenol,Isuprel
isosorbide,Isordil
isotonic,isosmotic
isotropic,isotropous
isotropy,symmetry
issue,egress
issue,emerge
issue,issuance
issue,issuing
issue,number
issue,publication
issue,supply
isthmus,band
italicize,italicise
itch,itchiness
itch,itching
itch,spoil
item,point
itemize,itemise
iteration,loop
iteration,looping
iterative,reiterative
itinerant,gipsy
itinerant,gypsy
itraconazole,Sporanox
ivied,ivy-covered
ivory,tusk
jab,dig
jab,jabbing
jab,poke
jab,poke
jab,poking
jab,prod
jab,stab
jab,thrust
jab,thrusting
jabber,gabble
jabber,jabbering
jack,diddley
jack,diddly
jack,diddly-shit
jack,diddly-squat
jack,diddlyshit
jack,diddlysquat
jack,doodly-squat
jack,jackass
jack,jackstones
jack,knave
jack,shit
jack,squat
jack-in-the-pulpit,wake-robin
jackdaw,daw
jackfruit,jack
jackfruit,jak
jacklight,jack
jacks,jackstones
jacks,knucklebones
jackstraw,spillikin
jackstraws,spillikins
jactitation,jactation
jade,jade-green
jade,jadestone
jaded,wearied
jag,dag
jagged,jaggy
jagged,scraggy
jaggery,jaggary
jaggery,jagghery
jaguar,panther
jaguarundi,eyra
jaguarundi,jaguarondi
jail,clink
jail,gaol
jail,jailhouse
jail,pokey
jail,poky
jail,slammer
jam,block
jam,cram
jam,crush
jam,jampack
jam,ram
jam,wad
jammed,jam-packed
jammed,packed
jamming,jam
jampot,jamjar
jangling,jangly
jar,jarful
jargoon,jargon
jaundice,icterus
jaundiced,icteric
jaundiced,yellow
jauntiness,dapperness
jauntiness,nattiness
jauntiness,rakishness
jealous,green-eyed
jealous,overjealous
jean,denim
jeep,landrover
jeer,barrack
jeer,flout
jeer,gibe
jeer,jeering
jeer,mockery
jeer,scoff
jeer,scoff
jeer,scoffing
jeeringly,gibingly
jeeringly,mockingly
jejunity,jejuneness
jejunity,jejuneness
jejunity,tameness
jejunity,vapidity
jejunity,vapidness
jell,congeal
jell,set
jellify,jelly
jello,Jell-O
jennet,jenny
jerk,dork
jerk,flick
jerk,jerking
jerk,jolt
jerk,saccade
jerk,twitch
jerkwater,one-horse
jerkwater,pokey
jerkwater,poky
jerky,jerk
jeroboam,double-magnum
jerry-built,shoddy
jersey,T-shirt
jest,jocularity
jest,joke
jester,fool
jesting,jocose
jesting,jocular
jesting,joking
jet,gush
jet,spirt
jet,spurt
jet,squirt
jetting,spouting
jetting,spurting
jetting,squirting
jewel,gem
jewel,gem
jeweler,jeweller
jewelry,jewellery
jewelweed,celandine
jewelweed,touch-me-not
jibe,gybe
jibe,jib
jig,gigue
jiggermast,jigger
jiggle,joggle
jiggle,wiggle
jigsaw,fretsaw
jihad,jehad
jihad,jehad
jilted,rejected
jilted,spurned
jimdandy,crackerjack
jimdandy,crackerjack
jimdandy,jimhickey
jimdandy,jimhickey
jimmies,sprinkles
jimmy,jemmy
jingle,jangle
jingle,jangle
jingle,jingle-jangle
jingling,jingly
jinks,hijinks
jinrikisha,ricksha
jinrikisha,rickshaw
jitteriness,jumpiness
jitteriness,nervousness
jitteriness,restiveness
jitters,heebie-jeebies
job,chore
job,task
jobber,middleman
jobber,wholesaler
jocosely,jocular
jocoseness,humorousness
jocoseness,jocosity
jocoseness,merriness
jocosity,jocularity
jocundity,jocularity
jog,lope
jog,trot
joggle,jiggle
join,conjoin
joined,united
joining,connection
joining,connexion
joint,articulate
joint,articulatio
joint,articulation
joint,reefer
joint,spliff
joint,stick
jointly,collectively
jointly,conjointly
joke,gag
joke,jape
joke,jest
joke,jest
joke,jest
joke,laugh
joker,jokester
joker,turkey
jokingly,jestingly
jollity,jolliness
jollity,joviality
jolt,jar
jolt,jar
jolt,jounce
jolt,shock
jolted,shaken
jonah,jinx
jostle,jostling
jostle,shove
jotting,jot
joule,J
journey,journeying
joust,tilt
joy,delight
joy,joyfulness
joy,joyousness
joy,pleasure
joyride,tool
judder,shake
judge,adjudicate
judge,jurist
judge,justice
judge,try
judgeship,judicature
judgment,assessment
judgment,judgement
judgment,judgement
judgment,judgement
judgment,judgement
judgment,judgement
judgment,judging
judgment,mind
judgment,perspicacity
judicial,juridic
judicial,juridical
judiciary,bench
judiciary,judicatory
judiciary,judicature
judicious,heady
judicious,wise
judiciousness,sagaciousness
judiciousness,sagacity
jug,jugful
juggernaut,steamroller
juggle,beguile
juggle,hoodwink
juggle,juggling
juggle,juggling
juice,succus
juicy,luscious
juicy,red-hot
juicy,toothsome
juicy,voluptuous
juju,fetich
juju,fetish
juju,hoodoo
juju,voodoo
jujube,Christ's-thorn
jujutsu,jiujitsu
jujutsu,jujitsu
juke,fake
juke,jook
jukebox,nickelodeon
jumble,confuse
jumble,jumbal
jumble,mingle
jump,bound
jump,jumping
jump,leap
jump,leap
jump,leap
jump,leap
jump,parachuting
jump,skip
jump,spring
jumper,pinafore
jumper,pinny
jumpstart,jump
jumpstart,jump-start
jumpstart,jump-start
jumpstart,jump-start
junco,snowbird
junction,adjunction
junction,colligation
junction,conjugation
junction,conjunction
junction,conjunction
juncture,crossroads
juncture,occasion
junior,next-to-last
junior,third-year
junior-grade,lower-ranking
junior-grade,lowly
junior-grade,petty
junior-grade,secondary
junior-grade,subaltern
junketeer,junket
jupati,jupaty
jural,juristic
juridical,juridic
jurisprudence,law
juror,juryman
juror,jurywoman
jury,panel
just,simply
justice,justness
justiciar,justiciary
justificative,justificatory
justificative,vindicatory
justify,vindicate
justify,warrant
justly,right
justness,nicety
justness,rightness
jutting,projected
jutting,projecting
jutting,protruding
jutting,relieved
jutting,sticking
juxtaposition,apposition
juxtaposition,collocation
kabbalism,cabalism
kabob,kebab
kaffir,caffer
kaffir,caffre
kaffir,kafir
kale,borecole
kale,cole
kale,cole
kale,colewort
kale,kail
kale,kail
kaleidoscopic,kaleidoscopical
kaliuresis,kaluresis
kampong,campong
kanamycin,Kantrex
kaon,k-meson
kaon,kappa-meson
karat,carat
karat,kt
kasbah,casbah
kat,cat
kat,khat
kat,qat
kat,quat
katabatic,catabatic
kauri,kaury
kava,kavakava
keen-eyed,sharp-eyed
keep,donjon
keep,dungeon
keep,hold
keep,maintain
keep,maintain
keep,maintain
keep,preserve
keepsake,relic
keepsake,souvenir
keepsake,token
keg,kegful
keloid,cheloid
kelpy,kelpie
kelvin,K
kempt,tidy
kenaf,bimli
kenaf,kanaf
kennel,doghouse
keratin,ceratin
keratinization,keratinisation
keratinize,keratinise
keratinize,keratinise
keratoderma,keratodermia
kernel,center
kernel,centre
kernel,core
kernel,essence
kernel,gist
kernel,heart
kernel,inwardness
kernel,marrow
kernel,meat
kernel,meat
kernel,nitty-gritty
kernel,nub
kernel,pith
kernel,substance
kernel,sum
kerosene,kerosine
kerygma,kerugma
ketamine,Ketalar
ketembilla,kitambilla
ketembilla,kitambilla
ketembilla,kitembilla
ketembilla,kitembilla
ketonemia,acetonemia
ketonemia,ketosis
ketonuria,acetonuria
ketonuria,ketoaciduria
ketoprofen,Orudis
ketoprofen,Oruvail
ketorolac,Torodal
kettle,boiler
kettle,kettledrum
kettle,kettleful
kettle,timpani
kettle,tympani
kettle,tympanum
key,cay
key,paint
key,tonality
keystone,headstone
keystone,key
khadi,khaddar
kibibit,kibit
kibitz,kibbitz
kick,boot
kick,kicking
kick,kicking
kickoff,send-off
kickoff,start-off
kid,banter
kid,chaff
kid,jolly
kid,josh
kid,kidskin
kidnap,abduct
kidnap,nobble
kidnap,snatch
kidnapper,abductor
kidnapper,kidnaper
kidnapper,snatcher
kidnapping,snatch
kike,hymie
kike,sheeny
kike,yid
kill,defeat
kill,obliterate
killdeer,kildeer
killer,slayer
killing,cleanup
killing,kill
killing,sidesplitting
killingly,sidesplittingly
kilobit,kb
kilobit,kbit
kilobyte,K
kilobyte,K
kilobyte,KB
kilobyte,KB
kilobyte,KiB
kilobyte,kB
kilobyte,kB
kilobyte,kibibyte
kilogram,kg
kilogram,kilo
kilohertz,kHz
kilohertz,kc
kilohertz,kilocycle
kiloliter,kilolitre
kilometer,kilometre
kilometer,klick
kilometer,km
kilovolt,kV
kilowatt,kW
kilter,kelter
kin,clan
kin,family
kin,kindred
kin,kinsperson
kin,tribe
kind,form
kind,genial
kind,sort
kind,tolerant
kind,variety
kindhearted,kind-hearted
kindheartedness,kind-heartedness
kindle,conflagrate
kindle,enkindle
kindle,inflame
kindle,inflame
kindliness,helpfulness
kindling,punk
kindling,spunk
kindling,tinder
kindling,touchwood
kindness,benignity
kinesthesia,kinaesthesia
kinesthesis,kinaesthesia
kinesthesis,kinaesthesis
kinesthesis,kinesthesia
kinesthesis,kinesthetics
kinesthetic,kinaesthetic
kinesthetically,kinaesthetically
king,Rex
king,queen
king,world-beater
king-size,king-sized
kingbolt,kingpin
kingdom,land
kingdom,realm
kingdom,realm
kingly,kinglike
kingpin,bigwig
kinin,cytokinin
kink,twirl
kink,twist
kinkajou,potto
kinky,perverted
kinship,relationship
kip,upstart
kismet,kismat
kiss,buss
kiss,osculation
kisser,osculator
kit,outfit
kitten,kitty
kittenish,frisky
kitty,kitty-cat
kitty,puss
kitty,pussy
kitty,pussycat
kiwi,apteryx
klaxon,claxon
knackered,drained
knackwurst,knockwurst
knawel,knawe
knead,work
knee,genu
knee-deep,knee-high
knee-high,knee-hi
kneel,kneeling
knickknack,novelty
knife,stab
knight,dub
knight,horse
kniphofia,flame-flower
kniphofia,flameflower
kniphofia,tritoma
knit,entwine
knit,knitting
knit,knitwork
knit,plain
knob,boss
knob,pommel
knobby,knobbly
knobkerrie,knobkerry
knock,bang
knock,bash
knock,belt
knock,belt
knock,criticise
knock,criticize
knock,knocking
knock,rap
knock,roast
knock,smash
knock,whack
knock,whang
knock-down,powerful
knockdown-dragout,knock-down-and-drag-out
knocker,doorknocker
knocker,rapper
knockoff,clone
knockout,KO
knockout,kayo
knoll,hammock
knoll,hillock
knoll,hummock
knoll,mound
knot,gnarl
knot,grayback
knot,greyback
knotty,snarled
knotty,snarly
know,cognise
know,cognize
know,experience
know,live
know-it-all,know-all
knowable,cognisable
knowable,cognizable
knowable,cognoscible
knower,apprehender
knowing,knowledgeable
knowing,learned
knowing,lettered
knowing,well-educated
knowing,well-read
knowing,wise
knowledgeability,initiation
knowledgeability,knowledgeableness
knowledgeable,knowing
knuckleball,knuckler
kopek,copeck
kopek,kopeck
kopje,koppie
kos,coss
kosher,cosher
koumiss,kumis
kowtow,kotow
kris,crease
kris,creese
krummhorn,cromorne
krummhorn,crumhorn
krypton,Kr
kudu,koodoo
kudu,koudou
kumquat,cumquat
kurrajong,currajong
kurus,piaster
kurus,piastre
kyanite,cyanite
kylie,kiley
kylix,cylix
kymograph,cymograph
kyphosis,humpback
kyphosis,hunchback
la,lah
laager,lager
lab,laboratory
labdanum,ladanum
labeled,labelled
labeled,tagged
labetalol,Normodyne
labetalol,Trandate
labiate,liplike
labor,dig
labor,drudge
labor,fag
labor,grind
labor,labour
labor,labour
labor,labour
labor,labour
labor,moil
labor,proletariat
labor,toil
labor,toil
labor,travail
labor-intensive,labour-intensive
labored,laboured
labored,strained
laborer,jack
laborer,labourer
laboriousness,operoseness
laboriousness,toilsomeness
laborsaving,laboursaving
labyrinthine,labyrinthian
labyrinthine,mazy
lace,lacing
lacebark,houhere
lacebark,ribbonwood
laced,tied
lacerate,lacerated
lacerate,lacerated
lacerate,mangled
lacerate,torn
lack,deficiency
lack,want
lackey,flunkey
lackey,flunky
lacking,absent
lacking,missing
lacking,wanting
lackluster,lacklustre
lackluster,lacklustre
lackluster,lusterless
lackluster,lusterless
lackluster,lustreless
lackluster,lustreless
laconically,drily
laconically,dryly
laconism,laconicism
lacrimal,lachrymal
lacrimal,lachrymal
lacrimation,lachrymation
lacrimation,tearing
lacrimation,watering
lacrimatory,lachrymatory
lactase,Lactaid
lacuna,blank
lacy,lacelike
lacy,netlike
lacy,netted
lacy,webbed
lacy,webby
lacy,weblike
ladder,run
laden,ladened
laden,loaded
laden,oppressed
ladle,lade
ladle,laden
lady's-eardrop,ladies'-eardrop
lady's-eardrop,ladies'-eardrops
lady's-eardrop,lady's-eardrops
ladybug,ladybeetle
ladybug,ladybird
ladyfish,tenpounder
ladylove,dulcinea
lag,dawdle
lagan,lagend
lagan,ligan
lagoon,laguna
lagoon,lagune
laic,lay
laic,secular
laicize,laicise
laid,set
laid-back,mellow
lair,den
laity,temporalty
lakeside,lakeshore
lamb,dear
lamb's-quarter,pigweed
lamb's-quarters,pigweed
lambert,L
lamellibranch,pelecypod
lamellibranch,pelecypodous
lameness,claudication
lameness,gameness
lameness,gimp
lameness,gimpiness
lameness,limping
lament,keen
lament,lamentation
lament,plaint
lament,wail
lamentation,mourning
lamenting,wailful
lamenting,wailing
laminar,laminal
laminitis,founder
lamivudine,3TC
lanate,woolly
lancelet,amphioxus
lanceolate,lancelike
lancet,lance
lancetfish,wolffish
land,earth
land,ground
land,ground
land,shore
land,soil
landlubber,landman
landlubber,landsman
landlubber,landsman
landlubber,lubber
landmark,watershed
landowner,landholder
landslide,landslip
landward,landwards
language,speech
languish,fade
languor,dreaminess
languor,flatness
languor,lassitude
languor,lethargy
languor,listlessness
languor,phlegm
languor,sluggishness
lank,spindly
lanseh,lansa
lanseh,lansat
lanseh,lanset
lansoprazole,Prevacid
lanthanum,La
lanyard,laniard
lanyard,laniard
lanyard,laniard
lap,circle
lap,circuit
lap,lick
lap,overlap
lap,swish
lap,swoosh
lap,swosh
lapidary,lapidarist
lapidary,lapidist
lapidify,petrify
lapin,rabbit
lapse,backslide
lapsed,nonchurchgoing
lapwing,peewit
lapwing,pewit
larboard,port
larcenist,larcener
larceny,stealing
larceny,theft
larceny,thievery
larceny,thieving
large,big
large-capitalization,large-cap
large-capitalization,large-capitalisation
large-leaved,large-leafed
largely,mostly
largeness,bigness
largeness,extensiveness
largess,largesse
lasagna,lasagne
lasagna,lasagne
lascivious,lewd
lascivious,libidinous
lascivious,lustful
lasciviously,salaciously
lash,thong
lash-up,contrivance
lass,lassie
lasso,lariat
lasso,reata
lasso,riata
lasso,rope
last,endure
last,finally
last,last-place
last,lastly
last,lowest
last,utmost
lastingness,durability
lastingness,enduringness
lastingness,strength
late,belatedly
late,later
late,recent
late,tardily
lateen,lateen-rigged
later,posterior
later,ulterior
lateral,sidelong
laterality,dominance
lateralization,lateralisation
lateralization,laterality
latest,modish
lathery,sudsy
lathi,lathee
latitude,parallel
lattice,fretwork
lattice,latticework
laud,exalt
laud,extol
laud,glorify
laud,proclaim
laudator,extoller
laudator,lauder
laudatory,praiseful
laudatory,praising
laugh,laughter
laughably,ludicrously
laughably,preposterously
laughably,ridiculously
laughing,riant
launching,launch
launderette,Laundromat
laundry,wash
laundry,washables
laundry,washing
laureled,crowned
laureled,laurelled
lavaliere,lavalier
lavaliere,lavalliere
lave,lap
lave,wash
lavender,lilac
lavender,lilac-colored
lavish,lucullan
lavish,lush
lavish,munificent
lavish,overgenerous
lavish,plush
lavish,plushy
lavish,shower
lavish,too-generous
lavish,unsparing
lavish,unstinted
lavish,unstinting
lavishly,extravagantly
lavishly,richly
lavishness,luxury
lavishness,sumptuosity
lavishness,sumptuousness
law,jurisprudence
law-abiding,observant
lawful,legitimate
lawful,licit
lawful,rule-governed
lawgiver,lawmaker
lawless,outlaw
lawlessness,outlawry
lawrencium,Lr
lawsuit,case
lawsuit,causa
lawsuit,cause
lawsuit,suit
lawyer,attorney
lax,loose
lax,slack
laxly,leniently
laxness,laxity
laxness,laxity
laxness,remissness
laxness,slackness
lay,repose
lay-up,layup
layer,bed
layered,superimposed
layman,layperson
layman,secular
lazaretto,lazaret
lazaretto,lazarette
lazaretto,pesthouse
leach,leaching
leach,percolate
leach,strip
lead,Pb
lead,conduct
lead,direct
lead,guide
lead,head
lead,lead-in
lead,leading
lead,lede
lead,take
lead,top
lead,track
lead,trail
lead-colored,lead-coloured
lead-free,nonleaded
leaden,plodding
leaden,weighted
leadership,leaders
leadership,leading
leading,preeminent
leading,prima
leading,star
leading,starring
leading,stellar
leaf,foliage
leaf,folio
leaf,leafage
leafed,leaved
leaflike,leaf-like
league,conference
leak,wetting
lean,angle
lean,skimpy
lean,slant
lean,tilt
lean,tip
leaning,propensity
leaning,tendency
leanness,spareness
leanness,thinness
leap,bounce
leap,bound
leap,jump
leap,jump
leap,leaping
leap,saltation
leap,saltation
leap,spring
learn,acquire
learn,discover
learn,hear
learn,larn
learn,read
learn,see
learn,study
learn,take
learner,assimilator
learner,scholar
learning,acquisition
lease,charter
lease,engage
lease,hire
lease,let
lease,letting
lease,rent
lease,rent
lease,rental
lease,take
leaseholder,lessee
leash,lead
leash,tether
leather-leaved,leather-leafed
leatherjacket,leatherfish
leatherjacket,leatherjack
leatherwood,moose-wood
leatherwood,moosewood
leatherwood,ropebark
leatherwood,wicopy
leave,allow
leave,depart
leave,lead
leave,provide
leave,result
leaven,leavening
leaven,leavening
lecherousness,lust
lecherousness,lustfulness
lector,lecturer
lector,reader
lector,reader
lecture,lecturing
lecture,speech
lecture,talk
lecture,talk
ledge,shelf
ledger,book
ledger,leger
lee,leeward
leech,bloodsucker
leech,hirudinean
leech,parasite
leech,sponge
leech,sponger
leek,scallion
leery,mistrustful
leery,suspicious
leery,untrusting
leery,wary
leeward,upwind
leflunomide,Arava
left,left-hand
left-handedness,sinistrality
left-hander,lefty
left-hander,southpaw
leftist,left-of-center
leftist,left-wing
leftover,left
leftover,odd
leftover,remaining
leftover,remnant
leftover,unexpended
leg-pull,leg-pulling
legal,effectual
legal,sound
legalization,legalisation
legalization,legitimation
legalize,decriminalise
legalize,decriminalize
legalize,legalise
legalize,legitimate
legalize,legitimatise
legalize,legitimatize
legalize,legitimise
legalize,legitimize
legally,lawfully
legation,legateship
legato,smooth
legend,fable
legging,leging
leggy,long-legged
leggy,long-shanked
leggy,tall-growing
legibility,readability
legibly,decipherably
legibly,readably
legionnaire,legionary
legislate,pass
legislation,lawmaking
legislation,legislating
legislature,law-makers
legitimate,logical
legitimately,lawfully
legitimately,licitly
leishmaniasis,leishmaniosis
leitmotiv,leitmotif
lemniscus,fillet
lemon,stinker
lemonwood,lemon-wood
lemony,lemonlike
lemony,sourish
lemony,tangy
lemony,tart
lend,add
lend,bestow
lend,bring
lend,contribute
lend,impart
lend,loan
lend-lease,lease-lend
lender,loaner
lending,loaning
lengthiness,continuation
lengthiness,prolongation
lengthiness,protraction
lengthways,lengthwise
lengthways,longitudinally
lengthways,longways
lengthways,longwise
lengthwise,lengthways
lenience,leniency
lenience,leniency
lenience,lenity
lenience,mildness
lens,lense
lento,slowly
leopard's-bane,leopardbane
leotard,unitard
leper,lazar
lepidopterist,lepidopterologist
lepidopterology,lepidoptery
lepidote,leprose
lepidote,scabrous
lepidote,scaly
lepidote,scurfy
leptorrhine,leptorhine
leptorrhine,leptorrhinian
leptorrhine,leptorrhinic
lesbian,sapphic
lesbian,tribade
lesbianism,sapphism
let,allow
let,permit
lethargic,unenrgetic
lethargically,unenergetically
lethargy,lassitude
lethargy,sluggishness
letter,missive
letter-perfect,word-perfect
letup,lull
leucocytozoan,leucocytozoon
leukemia,leucaemia
leukemia,leukaemia
leukocyte,WBC
leukocyte,leucocyte
leukocytosis,leucocytosis
leukoma,leucoma
leukopenia,leucopenia
leukorrhea,leucorrhea
levallorphan,Lorfan
level,dismantle
level,layer
level,rase
level,raze
level,stratum
level,unwavering
leveler,leveller
leverage,leveraging
leverage,purchase
levitate,hover
levorotary,left-handed
levorotary,levorotatory
levy,impose
lewd,obscene
lewd,raunchy
lewd,salacious
lewdly,obscenely
lexicalization,lexicalisation
lexicalize,lexicalise
lexicalized,lexicalised
lexicographer,lexicologist
lexicographic,lexicographical
liable,nonimmune
liable,nonresistant
liable,unresistant
liaison,contact
liaison,link
liar,prevaricator
liberal,liberalist
liberal,progressive
liberality,liberalness
liberality,liberalness
liberalization,liberalisation
liberalization,relaxation
liberalize,liberalise
liberalize,liberalise
liberally,generously
liberally,munificently
liberation,freeing
liberation,release
libertine,debauchee
libertine,rounder
librarian,bibliothec
license,certify
license,licence
license,licence
license,licence
license,licence
license,permission
license,permit
license,permit
licentiously,promiscuously
licentiously,wantonly
licentiousness,wantonness
lick,lap
lick,lap
licorice,liquorice
licorice,liquorice
lidless,sleepless
lie,prevarication
lie,rest
lie-abed,slugabed
life,life-time
life,lifespan
life,lifetime
life,living
life-and-death,life-or-death
life-giving,vitalizing
life-size,full-size
life-size,life-sized
life-size,lifesize
lifeguard,lifesaver
lifeless,exanimate
lifelike,natural
lifelong,womb-to-tomb
lift,elevate
lift,heave
lift,raise
lift,raise
lift,raise
lift,raise
lift,rise
light,calorie-free
light,illume
light,illuminate
light,illumination
light,illumine
light,light-colored
light,lighting
light,lightness
light,lightsome
light,lite
light,low-cal
light,scant
light,short
light,tripping
light,wakeful
light-armed,lightly-armed
light-fingered,nimble-fingered
light-heartedly,lightsomely
light-o'-love,light-of-love
light-sensitive,photosensitive
lighted,lit
lighter,igniter
lighter,ignitor
lighter,light
lighterman,bargee
lighterman,bargeman
lightless,unilluminated
lightless,unlighted
lightless,unlit
lightly,gently
lightly,light
lightly,softly
lightness,weightlessness
lightproof,light-tight
lightsomely,trippingly
lightsomeness,lightness
likable,likeable
like,ilk
like,same
like,similar
likelihood,likeliness
likely,potential
likeness,alikeness
likeness,semblance
likeness,similitude
lilac-blue,violet-blue
lilac-pink,lavender-pink
lilac-pink,violet-pink
lilt,swing
lilting,swinging
lilting,swingy
lilting,tripping
limacine,limacoid
limber,supple
limber,supple
limelight,glare
limelight,spotlight
limit,bound
limit,boundary
limit,circumscribe
limit,confine
limit,demarcation
limit,limitation
limitation,restriction
limited,modified
limited,special
limiter,clipper
limousine,limo
limp,gimp
limp,hitch
limp,hobble
limp,wilted
limpid,lucid
limpid,luculent
limpid,pellucid
limpid,perspicuous
linage,lineage
linage,lineage
linchpin,lynchpin
lincomycin,Lincocin
linden,basswood
linden,lime
line,contrast
line,demarcation
lineage,ancestry
lineage,blood
lineage,bloodline
lineage,descent
lineage,line
lineage,origin
lineage,parentage
lineage,pedigree
lineage,stemma
lineage,stock
lineal,direct
linear,additive
linear,elongate
linear,one-dimensional
linear,running
linearize,linearise
lined,seamed
liner,lining
linger,dawdle
lingeringly,protractedly
lingonberry,cowberry
linguine,linguini
linguist,polyglot
linguistic,lingual
linguistically,lingually
linguistics,philology
lingulate,tongue-shaped
liniment,embrocation
lining,facing
lining,liner
link,linkup
link,nexus
link,tie
link,tie-in
linkboy,linkman
linnet,lintwhite
linoleum,lino
linseed,flaxseed
lionize,celebrate
lionize,lionise
lip-synch,lip-sync
lipemia,hyperlipaemia
lipemia,hyperlipemia
lipemia,hyperlipidaemia
lipemia,hyperlipidemia
lipemia,hyperlipoidaemia
lipemia,hyperlipoidemia
lipemia,lipaemia
lipemia,lipidaemia
lipemia,lipidemia
lipemia,lipoidaemia
lipemia,lipoidemia
lipid,lipide
lipid,lipoid
lipless,unlipped
lipophilic,lipotropic
lipread,lip-read
lipread,speech-read
liquefiable,liquifiable
liquefied,liquified
liquefy,flux
liquefy,liquidise
liquefy,liquidize
liquefy,liquify
liquefy,liquify
liquescent,melting
liqueur,cordial
liquid,limpid
liquid,liquidity
liquid,liquidness
liquid,swimming
liquidation,settlement
liquidator,receiver
liquor,booze
liquor,spirits
lisinopril,Prinival
lisinopril,Zestril
lissome,lissom
lissome,lithe
lissome,lithesome
lissome,slender
lissome,supple
lissome,svelte
lissome,sylphlike
lissomeness,litheness
lissomeness,suppleness
list,heel
list,lean
list,listing
list,name
listen,hear
listening,hearing
lister,middlebreaker
listing,itemisation
listing,itemization
listlessness,torpidity
listlessness,torpidness
listlessness,torpor
litchi,leechee
litchi,lichee
litchi,lichee
litchi,lichi
litchi,litchee
litchi,lychee
liter,l
liter,litre
literalize,literalise
literature,lit
lithium,Li
lithops,stone-face
lithops,stoneface
lithosphere,geosphere
litigant,litigator
litotes,meiosis
litterbin,litter-basket
litterer,litterbug
little,minuscule
little,slight
little,small
little,small
little,small
littoral,litoral
littoral,sands
liturgics,liturgiology
livable,liveable
live,unrecorded
liveliness,animation
liveliness,life
liveliness,spirit
liveliness,sprightliness
lively,racy
liver-colored,liver
liverwort,hepatic
livestock,stock
lividness,achromasia
lividness,lividity
lividness,luridness
lividness,paleness
lividness,pallidness
lividness,pallor
lividness,wanness
lizardfish,snake-fish
lizardfish,snakefish
load,adulterate
load,burden
load,charge
load,debase
load,dilute
load,lade
load,laden
load,loading
load,loading
load,stretch
load-bearing,supporting
loanblend,hybrid
loanblend,loan-blend
loanword,loan
loath,loth
loath,reluctant
loathsomeness,lousiness
